Species,Population,Collection,ID,Sex,Age,Location,Latitude,Longitude,Altitude,Collector,Date collected,Photos,Scanned,Cleaned,Landmarked,Species correction,Other notes
subtropicus,,QM,JM37,Female,Adult,Mt Glorious,-27.333,152.767,572,R. Braithwaite,20/09/1971,ok,ok,ok,,,
stuartii,north,QM,JM3944,Male,Adult,Wollumbin N. NSW,-28.417,153.233,203,NA,21/07/1977,ok,ok,ok,,subtropicus?,
subtropicus,,QM,JM4432,Female,Adult,11 km SW Uki NSW,-28.467,153.233,146,A. Gilmore,21/03/1984,ok,ok,ok,,?,Male?
subtropicus,,QM,JM47,Female,Adult,Mt Glorious Grid SEQ,-27.333,152.767,572,R. Braithwaite,7/05/1972,ok,ok,ok,,,Male?
subtropicus,,QM,JM86,Female,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/06/1971,ok,ok,ok,,,
subtropicus,,QM,JM88,Unknown,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/06/1971,ok,ok,ok,,,
subtropicus,,QM,JM89,Female,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/06/1971,ok,ok,ok,,,
subtropicus,,QM,JM91,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,ok,,
subtropicus,,QM,JM92,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,,,
subtropicus,,QM,JM93,Male,unknown,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,,,
subtropicus,,QM,JM95,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,,,
subtropicus,,QM,JM96,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,,,
